CourtLink, which has 160 employees, developed a filing system that enables judges, lawyers and court clerks to process pleadings, motions and other documents electronically over a secure connection.
0	"160 employees"	"be has by"	"CourtLink"
29	"Ms. Coughlin"	"Meanwhile is pursuing her case in"	"a Federal court"
29	"Ms. Coughlin"	"Meanwhile is pursuing"	"her case"
29	"Ms. Coughlin"	"is pursuing her case in"	"a Federal court"
29	"Ms. Coughlin"	"is pursuing"	"her case in a Federal court in Nevada against the last remaining defendant"
29	"Ms. Coughlin"	"is pursuing"	"her case in a Federal court"
29	"her case"	"Meanwhile is pursuing against"	"the last remaining defendant"
29	"her case"	"Meanwhile is pursuing in"	"a Federal court"
29	"her"	"has"	"case in a Federal court"
29	"it"	"negligently failed to provide"	"adequate security"
29	"the Las Vegas Hilton"	"failed"	"to provide adequate security Meanwhile"
29	"the Las Vegas Hilton"	"failed"	"to provide adequate security negligently"
29	"the Las Vegas Hilton"	"failed"	"to provide adequate security"
29	"the Las Vegas Hilton"	"has denied"	"it"
To reach the museums by foot, leave from the station's 30th Street exit and walk along J.
30	"the museums"	"To be reach by"	"foot"
30	"the museums"	"leave from"	"the station 's 30th Street exit and walk"
30	"the station"	"has"	"30th Street exit"
In lieu of flowers, donations in his memory can be made to the International Myeloma Foundation, 12650 Riverside Drive, Suite 206, North Hollywood, CA.
31	"donations in his memory"	"can be made"	"to the International Myeloma Foundation In lieu of flowers"
31	"donations in his memory"	"can be made"	"to the International Myeloma Foundation"
31	"donations"	"can be made in"	"lieu of flowers"
31	"donations"	"can be made on"	"lieu of flowers"
31	"donations"	"can be made to"	"the International Myeloma Foundation"
31	"his memory"	"can be made to"	"the International Myeloma Foundation"
31	"his"	"has"	"memory"
31	"the International Myeloma Foundation"	"is"	"12650 Riverside Drive"
31	"the International Myeloma Foundation"	"is"	"CA"
31	"the International Myeloma Foundation"	"is"	"North Hollywood"
31	"the International Myeloma Foundation"	"is"	"Suite 206"
Julian Stark does his own hapless stunts in his takeoff on the "Hercules" movies starring Steve Reeves; Shannon Plumb contributes a Chaplinesque "Diary of a Mad Housewife."
32	"Julian Stark"	"does his own hapless stunts in his takeoff on"	"the " Hercules " movies"
32	"Julian Stark"	"does his own hapless stunts in"	"his takeoff"
32	"Julian Stark"	"does"	"his own hapless stunts in his takeoff on the Hercules movies starring Steve Reeves"
32	"Julian Stark"	"does"	"his own hapless stunts"
32	"Shannon Plumb"	"contributes"	"a Chaplinesque " Diary of a Mad Housewife"
32	"Shannon Plumb"	"contributes"	"a Chaplinesque Diary of a Mad Housewife"
32	"his"	"has"	"own hapless stunts"
32	"his"	"has"	"takeoff on the Hercules movies starring Steve Reeves"
32	"the Hercules movies"	"be starring"	"Steve Reeves"
The negative outlook also reflects the possibility of "further managerial instability and movement, financial penalties, findings supporting shareholder litigation and further reserve adjustments.
33	"The negative outlook"	"also reflects the possibility of"	""further managerial instability and movement , financial penalties"
33	"The negative outlook"	"also reflects"	"the possibility of "further managerial instability"
33	"The negative outlook"	"reflects"	"the possibility of financial penalties also"
33	"The negative outlook"	"reflects"	"the possibility of financial penalties"
33	"The negative outlook"	"reflects"	"the possibility of findings supporting further reserve adjustments also"
33	"The negative outlook"	"reflects"	"the possibility of findings supporting further reserve adjustments"
33	"The negative outlook"	"reflects"	"the possibility of findings supporting shareholder litigation also"
33	"The negative outlook"	"reflects"	"the possibility of findings supporting shareholder litigation"
33	"The negative outlook"	"reflects"	"the possibility of further managerial instability also"
33	"The negative outlook"	"reflects"	"the possibility of further managerial instability and movement financial penalties findings supporting shareholder litigation and further reserve adjustments also"
33	"The negative outlook"	"reflects"	"the possibility of further managerial instability and movement financial penalties findings supporting shareholder litigation and further reserve adjustments"
33	"The negative outlook"	"reflects"	"the possibility of further managerial instability"
33	"The negative outlook"	"reflects"	"the possibility of movement also"
33	"The negative outlook"	"reflects"	"the possibility of movement"
33	"findings"	"be supporting"	"further reserve adjustments"
33	"findings"	"be supporting"	"shareholder litigation and further reserve adjustments"
33	"findings"	"be supporting"	"shareholder litigation"
My words were as perishable as doodles on an Etch-a-Sketch, I got half the money for twice the work, and I had to share the writer's credit.
34	"I"	"got half the money for"	"the work"
34	"I"	"got"	"half the money for twice the work"
34	"I"	"got"	"half the money"
34	"I"	"got"	"the money"
34	"I"	"had to share"	"the writer 's credit"
34	"I"	"had"	"to share the writer 's credit"
34	"I"	"to share"	"the writer 's credit"
34	"My words"	"were as perishable as"	"doodles"
34	"My words"	"were as"	"perishable"
34	"My words"	"were"	"perishable I got half the money for twice the work and as doodles on an Etch-a-Sketch"
34	"My words"	"were"	"perishable I got half the money for twice the work and"
34	"My words"	"were"	"perishable I got half the money for twice the work as doodles on an Etch-a-Sketch"
34	"My words"	"were"	"perishable I got half the money for twice the work"
34	"My"	"has"	"words"
34	"the money"	"be got for"	"the work"
34	"the writer"	"has"	"credit"
Although the classic loafer can travel anywhere, this spring's variations are certainly a step in a new direction.
35	"the classic loafer"	"can travel"	"anywhere"
35	"this spring 's variations"	"are certainly a step in"	"a new direction"
35	"this spring 's variations"	"are certainly a step in"	"a new direction"	"[enabler=Although the classic loafer can travel anywhere]"
35	"this spring 's variations"	"are"	"a step Although the classic loafer can travel anywhere"
35	"this spring 's variations"	"are"	"a step certainly"
35	"this spring 's variations"	"are"	"a step in a new direction"
35	"this spring 's variations"	"are"	"a step"
35	"this spring"	"has"	"variations"
Eventually, they say, fares should cover about 50 percent of the costs of the system, up from the current 25 to 38 percent, depending on the method of calculation.
36	"fares"	"Eventually should cover up from the current 25 to 38 percent"	"about 50 percent of the costs of the system"
36	"fares"	"should cover about"	"50 percent of the costs of the system"
36	"fares"	"should cover"	"about 50 percent of the costs of the system up from the current 25 Eventually"
36	"fares"	"should cover"	"about 50 percent of the costs of the system up from the current 25 depending on the method of calculation"
36	"fares"	"should cover"	"about 50 percent of the costs of the system up from the current 25 to 38 percent"
36	"fares"	"should cover"	"about 50 percent of the costs of the system up from the current 25"
36	"they"	"say"	"Eventually fares should cover about 50 percent of the costs of the system up from the current 25 to 38 percent depending on the method of calculation"
Taken for granted it sometimes may be, but this year the Defense Department sought $950 million in assistance from Congress (and secured half that amount) for Ankara's huge military machine, which includes the biggest standing army in NATO outside the United States.
37	"Ankara 's huge military machine"	"includes the biggest standing army in NATO outside"	"the United States"
37	"Ankara 's huge military machine"	"includes"	"the biggest standing army in NATO outside the United States"
37	"Ankara 's huge military machine"	"includes"	"the biggest standing army in NATO"
37	"Ankara 's huge military machine"	"includes"	"the biggest standing army"
37	"Ankara"	"has"	"huge military machine"
37	"Taken for"	"granted"	"it sometimes may be"
37	"it"	"may be"
37	"it"	"may be"	"sometimes"
37	"the Defense Department"	"sought $ 950 million in assistance from Congress half"	"and secured half"
37	"the Defense Department"	"sought $ 950 million in assistance from Congress in"	"this year"
37	"the Defense Department"	"sought"	"$ 950 million for Ankara 's huge military machine"
37	"the Defense Department"	"sought"	"$ 950 million from Congress"
37	"the Defense Department"	"sought"	"$ 950 million in assistance"
37	"the Defense Department"	"sought"	"$ 950 million this year"
37	"the Defense Department"	"sought"	"$ 950 million"
37	"the biggest standing army"	"be includes by"	"Ankara 's huge military machine"
An article last Sunday about the purchase of 40 Wall Street referred incorrectly to the buyer's arrangements with the owner of the land.
38	"An article"	"Wall Street referred"	"incorrectly about the purchase of 40"
38	"An article"	"Wall Street referred"	"incorrectly last Sunday"
38	"An article"	"Wall Street referred"	"incorrectly to the buyer 's arrangements"
38	"An article"	"Wall Street referred"	"incorrectly with the owner of the land"
38	"An article"	"Wall Street referred"	"incorrectly"
38	"An article"	"referred incorrectly to"	"the buyer 's arrangements"
38	"Wall Street"	"An article referred"	"incorrectly about the purchase of 40"
38	"Wall Street"	"An article referred"	"incorrectly last Sunday"
38	"Wall Street"	"An article referred"	"incorrectly to the buyer 's arrangements"
38	"Wall Street"	"An article referred"	"incorrectly with the owner of the land"
38	"Wall Street"	"An article referred"	"incorrectly"
38	"the buyer"	"has"	"arrangements"
38	"the purchase of 40 Wall Street"	"referred incorrectly to"	"the buyer 's arrangements"
But if it does happen, Senator Pell will no longer be around to receive special back-room briefings from Uri Geller, the psychic spoon-bender.
39	"Senator Pell"	"to receive"	"special back-room briefings"
39	"Senator Pell"	"will be around"	"to receive special back-room briefings from Uri Geller if it does happen"
39	"Senator Pell"	"will be around"	"to receive special back-room briefings from Uri Geller no longer"
39	"Senator Pell"	"will be around"	"to receive special back-room briefings from Uri Geller"
